[2026-07-27 04:20:50] [safety_warp] [INFO] ======================================================================
[2026-07-27 04:20:50] [safety_warp] [INFO] Safety-WaRP-LLM (Fixed - 원본 FSCIL-WaRP 방식)
[2026-07-27 04:20:50] [safety_warp] [INFO] ======================================================================
[2026-07-27 04:20:50] [safety_warp] [INFO] Phase: 3
[2026-07-27 04:20:50] [safety_warp] [INFO] Model: None
[2026-07-27 04:20:50] [safety_warp] [INFO] Layer types: attn_q,attn_k,attn_v,ffn_up,ffn_down
[2026-07-27 04:20:50] [safety_warp] [INFO] Target layers: all
[2026-07-27 04:20:50] [safety_warp] [INFO] ======================================================================
[2026-07-27 04:20:50] [safety_warp] [INFO] ======================================================================
[2026-07-27 04:20:50] [safety_warp] [INFO] Starting Phase 3: Incremental Learning (Fixed)
[2026-07-27 04:20:50] [safety_warp] [INFO] Mode: freeze_warp
[2026-07-27 04:20:50] [safety_warp] [INFO] ======================================================================
[2026-07-27 04:20:50] [safety_warp] [INFO] ======================================================================
[2026-07-27 04:20:50] [safety_warp] [INFO] Phase 3 ablation arm B: ActSVD output basis + row (rank) freezing
[2026-07-27 04:20:50] [safety_warp] [INFO]   - basis side : output
[2026-07-27 04:20:50] [safety_warp] [INFO]   - V (output) : basis
[2026-07-27 04:20:50] [safety_warp] [INFO]   - mask unit  : row
[2026-07-27 04:20:50] [safety_warp] [INFO] ======================================================================
[2026-07-27 04:20:50] [safety_warp] [INFO] Loading basis from /root/Safety-WaRP-LLM/outputs/wsr_actsvd_ablation/basis_output_runs/phase1_output_20260727_024335/basis...
[2026-07-27 04:21:01] [safety_warp] [INFO] ✓ Basis loaded: 160 combinations
[2026-07-27 04:21:01] [safety_warp] [INFO] Loading masks from /root/Safety-WaRP-LLM/outputs/wsr_actsvd_ablation/arm_B/phase2_runs/phase2_armB_20260727_042036/checkpoints/masks...
[2026-07-27 04:21:01] [safety_warp] [INFO] ✓ Mask metadata loaded:
[2026-07-27 04:21:01] [safety_warp] [INFO]   - Keep ratio: 0.1
[2026-07-27 04:21:09] [safety_warp] [INFO] ✓ Masks loaded: 160 combinations
[2026-07-27 04:21:09] [safety_warp] [INFO] ✓ mask metadata: arm=B unit=row rank_by=grad total_frozen=449953792
[2026-07-27 04:21:11] [safety_warp] [INFO] Loading Phase 0 model from kmseong/llama2_7b-chat-Safety-FT-lr5e-5...
[2026-07-27 04:21:13] [safety_warp] [INFO] ✓ Model loaded
[2026-07-27 04:21:13] [safety_warp] [INFO] Converting to WaRP modules...
[2026-07-27 04:21:13] [safety_warp] [INFO] ✓ Tokenizer loaded
[2026-07-27 04:21:13] [safety_warp] [INFO]   - Input formatting: chat template
[2026-07-27 04:21:13] [safety_warp] [INFO] ======================================================================
[2026-07-27 04:21:13] [safety_warp] [INFO] Setting up WaRP modules — ablation arm B
[2026-07-27 04:21:13] [safety_warp] [INFO] ======================================================================
[2026-07-27 04:21:15] [safety_warp] [INFO] [phase3/armB] reparameterized 160 modules (side=output, V=basis) | reconstruction rel-err mean=4.113e-03 worst=6.392e-03 @ ffn_up/layer_14
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  5 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  5 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  6 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  6 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  6 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  6 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  6 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  7 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  7 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  7 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  7 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  7 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  8 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  8 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  8 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  8 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  8 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  9 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  9 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  9 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  9 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer  9 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 10 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 10 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 10 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 10 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 10 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 11 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 11 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 11 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 11 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 11 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 12 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 12 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 12 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 12 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 12 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 13 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 13 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 13 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 13 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 13 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 14 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 14 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 14 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 14 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 14 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 15 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 15 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 15 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 15 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 15 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 16 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 16 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:15] [safety_warp] [INFO] Layer 16 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 16 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 16 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 17 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 17 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 17 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 17 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 17 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 18 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 18 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 18 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 18 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 18 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 19 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 19 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 19 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 19 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 19 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 20 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 20 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 20 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 20 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 20 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 21 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 21 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 21 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 21 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 21 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 22 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 22 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 22 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 22 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 22 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 23 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 23 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 23 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 23 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 23 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 24 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 24 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 24 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 24 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 24 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 25 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 25 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 25 (attn_v   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 25 (ffn_up   ) coeff=(11008, 4096) frozen=4,509,696 (10.00%) | frozen output directions: 1101/11008
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 25 (ffn_down ) coeff=(4096, 11008) frozen=4,513,280 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 26 (attn_q   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
[2026-07-27 04:21:16] [safety_warp] [INFO] Layer 26 (attn_k   ) coeff=(4096, 4096) frozen=1,679,360 (10.01%) | frozen output directions: 410/4096
