삭제 대상 42개 / 606.3 GB

     26.0 GB  kmseong/llama2_13b-chat-CB_SSFT-seal-warp_gsm8k_topp0.8_rho0.1_lr5e-5
     13.5 GB  kmseong/llama2_7b-base-CB_SSFT-lisa_gsm8k_rho1.0_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-asft_arc_lambda1.0_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-asft_medqa_lambda1.0_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-lora_arc_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-lora_medqa_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-safelora_arc_thr0.3_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-safelora_medqa_thr0.3_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-base-CB_SSFT-asft_gsm8k_lambda1.0_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-base-CB_SSFT-lora_gsm8k_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-base-CB_SSFT-safelora_gsm8k_thr0.3_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-BT_SSFT-seal_gsm8k_topp0.8_lr5e-5
     13.5 GB  kmseong/llama2_7b-chat-BT_SSFT-wsr-lora_gsm8k_rho0.3_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-BT_SSFT-salora_gsm8k_rs32rt32_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-BT_SSFT-lisa_gsm8k_rho1.0_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-BT_SSFT-asft_gsm8k_lambda1.0_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-BT_SSFT-lora_gsm8k_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-BT_SSFT-safelora_gsm8k_thr0.3_a16_lr3e-4

보존 63개
  [keep] Qwen/Qwen2.5-7B-Instruct                                     레지스트리 보호
  [keep] google/gemma-2-9b-it                                         레지스트리 보호
  [keep] kmseong/Llama-3.1-8B-Instruct-ssft_lr5e-5                    레지스트리 보호
  [keep] kmseong/Llama-3.1-8B-base-SSFT_lr5e-5                        레지스트리 보호
  [keep] kmseong/llama2_7b-base-CB_SSFT-lr3e-5                        레지스트리 보호
  [keep] kmseong/llama2_7b-chat-Safety-FT-lr5e-5                      레지스트리 보호
  [keep] kmseong/llama3_2_3b-instruct-SSFT-lr5e-5                     레지스트리 보호
  [keep] meta-llama/Llama-2-13b-chat-hf                               레지스트리 보호
  [keep] meta-llama/Llama-2-7b-chat-hf                                레지스트리 보호
  [keep] meta-llama/Llama-2-7b-hf                                     레지스트리 보호
  [keep] meta-llama/Llama-3.1-8B                                      레지스트리 보호
  [keep] meta-llama/Llama-3.1-8B-Instruct                             레지스트리 보호
  [keep] meta-llama/Llama-3.2-3B-Instruct                             레지스트리 보호
  [keep] wvnvwn/gemma-2-9b-it-ssft-lr3e-5                             레지스트리 보호
  [keep] wvnvwn/llama-2-13b-chat-hf-SSFT-lr5e-5                       레지스트리 보호
  [keep] wvnvwn/qwen-2.5-7B-Instruct-SSFT-lr5e-5                      레지스트리 보호

*** DRY RUN — 실제 삭제는 --apply ***
